SCEN_ID	noise_type	sd	true_sd	alpha	D_rate	L_rate	H_rate	S_count	D_count	L_count	H_count	ancient_dupl	epsilon	BMG_size	RBMG_size	possible_edges_BMG	BMG_eps_order	BMG_eps_size	BMG_eps_tp	BMG_eps_tn	BMG_eps_fp	BMG_eps_fn	BMG_eps_acc	BMG_eps_prec	BMG_eps_recall	RBMG_eps_order	RBMG_eps_size	RBMG_eps_tp	RBMG_eps_tn	RBMG_eps_fp	RBMG_eps_fn	RBMG_eps_acc	RBMG_eps_prec	RBMG_eps_recall	BMG_nj_order	BMG_nj_size	BMG_nj_tp	BMG_nj_tn	BMG_nj_fp	BMG_nj_fn	BMG_nj_acc	BMG_nj_prec	BMG_nj_recall	RBMG_nj_order	RBMG_nj_size	RBMG_nj_tp	RBMG_nj_tn	RBMG_nj_fp	RBMG_nj_fn	RBMG_nj_acc	RBMG_nj_prec	RBMG_nj_recall	BMG_qd_order	BMG_qd_size	BMG_qd_tp	BMG_qd_tn	BMG_qd_fp	BMG_qd_fn	BMG_qd_acc	BMG_qd_prec	BMG_qd_recall	RBMG_qd_order	RBMG_qd_size	RBMG_qd_tp	RBMG_qd_tn	RBMG_qd_fp	RBMG_qd_fn	RBMG_qd_acc	RBMG_qd_prec	RBMG_qd_recall	BMG_qd2_order	BMG_qd2_size	BMG_qd2_tp	BMG_qd2_tn	BMG_qd2_fp	BMG_qd2_fn	BMG_qd2_acc	BMG_qd2_prec	BMG_qd2_recall	RBMG_qd2_order	RBMG_qd2_size	RBMG_qd2_tp	RBMG_qd2_tn	RBMG_qd2_fp	RBMG_qd2_fn	RBMG_qd2_acc	RBMG_qd2_prec	RBMG_qd2_recall	time_eps	time_nj	time_qd	time_qd2
0	no_bias	0.0	0.0	0.0	0.5146992352390203	0.9251614886143147	0.0	4	0	0	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.013703584671020508	0.01180267333984375	0.011747598648071289	0.012715578079223633
1	no_bias	0.0	0.0	0.0	0.5146992352390203	0.9251614886143147	0.0	4	1	1	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.011440753936767578	0.008100509643554688	0.012532234191894531	0.011537790298461914
0	no_bias	0.05	0.030217036664735058	0.0	0.5146992352390203	0.9251614886143147	0.0	4	0	0	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.011414527893066406	0.009119987487792969	0.013029813766479492	0.011564016342163086
1	no_bias	0.05	0.0353669075926996	0.0	0.5146992352390203	0.9251614886143147	0.0	4	1	1	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.009909868240356445	0.010349512100219727	0.012688875198364258	0.012408733367919922
0	no_bias	0.1	0.06023343519989375	0.0	0.5146992352390203	0.9251614886143147	0.0	4	0	0	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.011269092559814453	0.008718490600585938	0.012991905212402344	0.012623786926269531
1	no_bias	0.1	0.1520385045458762	0.0	0.5146992352390203	0.9251614886143147	0.0	4	1	1	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.009823083877563477	0.011291027069091797	0.013014078140258789	0.012184619903564453
0	no_bias	0.2	0.0826783604399054	0.0	0.5146992352390203	0.9251614886143147	0.0	4	0	0	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.012080192565917969	0.00911569595336914	0.012642621994018555	0.01128387451171875
1	no_bias	0.2	0.14586312937711354	0.0	0.5146992352390203	0.9251614886143147	0.0	4	1	1	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.010841608047485352	0.009765148162841797	0.013289690017700195	0.011468887329101562
0	no_bias	0.3	0.49397723571037344	0.0	0.5146992352390203	0.9251614886143147	0.0	4	0	0	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.01116037368774414	0.010006427764892578	0.01258087158203125	0.010855436325073242
1	no_bias	0.3	0.10495977267147191	0.0	0.5146992352390203	0.9251614886143147	0.0	4	1	1	0	0	0.5	6	3	6	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	4	6	6	6	0	0	1.0	1.0	1.0	4	3	3	3.0	0	0	1.0	1.0	1.0	0.010859012603759766	0.009470701217651367	0.010238409042358398	0.010924577713012695
